"MetaCyc"	meta
"Candidatus Nitrosopumilus koreensis AR1"	cnit1229908
"Candidatus Nitrosopumilus salaria BD31"	cnit859350
"Candidatus Nitrosopumilus sp. AR2"	cnit1229909
"Candidatus Nitrososphaera gargensis Ga9.2"	cnit1237085
"Candidatus Nitrospira defluvii"	cnit330214
"Candidatus Odyssella thessalonicensis L13"	cody985867
"Candidatus Pantoea carbekii"	gcf_000971765
"Candidatus Paracaedibacter acanthamoebae"	gcf_000742835
"Candidatus Pelagibacter sp. HTCC7211"	cpel439493
"Candidatus Pelagibacter sp. IMCC9063"	cpel1002672
"Candidatus Pelagibacter ubique HTCC1002"	cpel314261
"Candidatus Pelagibacter ubique HTCC1062"	cpel335992
"Candidatus Phytoplasma australiense"	cphy59748
"Candidatus Phytoplasma mali"	cphy37692
"Candidatus Phytoplasma solani"	cphy69896
"Candidatus Portiera aleyrodidarum BT-B-HRs"	gcf_000292685
"Candidatus Portiera aleyrodidarum BT-B-HRs"	cpor1206109
"Candidatus Portiera aleyrodidarum BT-QVLC"	gcf_000298385
"Candidatus Portiera aleyrodidarum BT-QVLC"	cpor1239881
"Candidatus Portiera aleyrodidarum BT-QVLC (Evolutionary Genetics, Instituto Cavanilles)"	pabtqvlc
"Candidatus Portiera aleyrodidarum MED (Bemisia tabaci)"	gcf_000827855
"Candidatus Portiera aleyrodidarum TV"	cpor1297582
"Candidatus Profftella armatura"	cpro669502
"Candidatus Protochlamydia amoebophila UWE25"	cpro264201
"Candidatus Puniceispirillum marinum IMCC1322"	cpun488538
"Candidatus Rickettsia amblyommii GAT-30V"	cric1105111
"Candidatus Riesia pediculicola USDA"	crie515618
"Candidatus Ruthia magnifica Cm (Calyptogena magnifica)"	crut413404
"Candidatus Saccharibacteria bacterium RAAC3_TM7_1"	csac1394711
"Candidatus Saccharibacteria oral taxon TM7x"	casa1476577
"Candidatus Saccharimonas aalborgensis"	csac1332188
"Candidatus Sodalis pierantonius SOPE"	gcf_000517405
"Candidatus Solibacter usitatus Ellin6076"	csol234267
"Candidatus Sulcia muelleri"	gcf_000831465
"Candidatus Sulcia muelleri"	gcf_000800435
"Candidatus Sulcia muelleri"	gcf_000754305
"Candidatus Sulcia muelleri CARI"	csul706194
"Candidatus Sulcia muelleri DMIN"	csul641892
"Candidatus Sulcia muelleri GWSS"	csul444179
"Candidatus Sulcia muelleri PSPU"	gcf_000829155
"Candidatus Sulcia muelleri SMDSEM"	csul595499
"Candidatus Sulcia muelleri Sulcia-ALF"	csul1343076
"Candidatus Sulfuricurvum sp. RIFRC-1"	usul1249480
"Candidatus Symbiobacter mobilis CR"	csym946483
"Candidatus Tremblaya phenacola PAVE"	ctre1266371
"Candidatus Tremblaya princeps PCIT"	ctre891398
"Candidatus Tremblaya princeps PCVAL"	ctre1053648
"Candidatus Uzinura diaspidicola ASNER"	cuzi1133592
"Candidatus Vesicomyosocius okutanii HA"	cves412965
"Candidatus Zinderia insecticola CARI"	czin871271
"Capnocytophaga canimorsus Cc5"	ccan860228
"Capnocytophaga cynodegmi DSM 19736"	gcf_000379185
"Capnocytophaga gingivalis ATCC 33624"	cgin553178-hmp
"Capnocytophaga granulosa ATCC 51502"	gcf_000411115
"Capnocytophaga ochracea DSM 7271"	coch521097
"Capnocytophaga ochracea F0287"	coch873517-hmp
"Capnocytophaga ochracea Holt 25"	coch1125719
"Capnocytophaga sp. oral taxon 324 F0483"	csp1127691
"Capnocytophaga sp. oral taxon 326 F0382"	csp1035193-hmp
"Capnocytophaga sp. oral taxon 329 F0087"	csp706436-hmp
"Capnocytophaga sp. oral taxon 335 F0486"	csp1125720
"Capnocytophaga sp. oral taxon 338 F0234"	csp888059-hmp
"Capnocytophaga sputigena ATCC 33612"	cspu553177-hmp
"Carboxydibrachium pacificum DSM 12653"	cpac391606
"Carboxydothermus hydrogenoformans Z-2901"	chyd246194
"Cardinium endosymbiont cEper1 of Encarsia pergandiella"	cend1231626
"Cardiobacterium hominis ATCC 15826"	chom638300-hmp
"Cardiobacterium valvarum F0432"	cval797473-hmp
"Carnimonas nigrificans ATCC BAA-78"	gcf_000526695
"Carnobacterium alterfunditum DSM 5972"	gcf_000744115
"Carnobacterium divergens DSM 20623"	gcf_000744255
"Carnobacterium funditum DSM 5970"	gcf_000744185
"Carnobacterium gallinarum DSM 4847"	gcf_000744375
"Carnobacterium inhibens DSM 13024"	gcf_000746825
"Carnobacterium jeotgali MS3"	gcf_000745125
"Carnobacterium maltaromaticum LMA28"	cmal1234679
"Carnobacterium mobile DSM 4848"	gcf_000744825
"Carnobacterium pleistocenium FTR1"	gcf_000744285
"Carnobacterium sp. 17-4"	csp208596
"Carnobacterium sp. AT7"	csp333990
"Carnobacterium sp. WN1359"	csp1266845
"Catellicoccus marimammalium M35/04/3"	gcf_000313915
"Catelliglobosispora koreensis DSM 44566"	gcf_000379685
"Catenibacterium mitsuokai DSM 15897"	gcf_000173795
"Catenovulum agarivorans YM01"	gcf_000281085
"Catenulispora acidiphila DSM 44928"	caci479433
"Catenuloplanes japonicus"	gcf_000717135
"Catonella morbi ATCC 51271"	gcf_000160035
"Caulobacter crescentus CB15"	caulo
"Caulobacter crescentus NA1000"	caulona1000
"Caulobacter henricii CF287"	gcf_000745545
"Caulobacter henricii OK261"	gcf_000744465
"Caulobacter segnis ATCC 21756"	cseg509190
"Caulobacter sp. K31"	csp366602
"Cecembia lonarensis LW9"	clon1225176
"Cedecea neteri M006"	gcf_000758305
"Cedecea neteri ND14a"	gcf_000758325
"Cedecea neteri ND14b"	gcf_000758345
"Cedecea neteri SSMD04"	gcf_000757825
"Celeribacter baekdonensis B30"	cbae1208323
"Celeribacter indicus"	gcf_000819565
"Cellulomonas carbonis T26"	gcf_000767175
"Cellulomonas cellasea DSM 20118"	gcf_000767135
"Cellulomonas fimi ATCC 484"	cfim590998
"Cellulomonas flavigena DSM 20109"	cfla446466
"Cellulomonas massiliensis JC225"	gcf_000312005
"Cellulophaga algicola DSM 14237"	calg688270
"Cellulophaga baltica 18"	gcf_000468615
"Cellulophaga baltica NN016038"	gcf_000477035
"Cellulophaga lytica DSM 7489"	clyt867900
"Cellulosimicrobium cellulans J36"	gcf_000526595
"Cellvibrio japonicus Ueda107"	cjap498211
"Cellvibrio mixtus mixtus J3-8"	gcf_000766945
"Cenarchaeum symbiosum A"	csym414004
"Centipeda periodontii DSM 2778"	cper888060-hmp
"Cesiribacter andamanensis AMV16"	gcf_000348925
"Cetobacterium somerae ATCC BAA-474"	gcf_000479045
"Chamaesiphon minutus PCC 6605"	cmin1173020
"Chelativorans sp. BNC1"	csp266779
"Chelonobacter oris"	gcf_000772535
"Chitinibacter tainanensis DSM 15459"	gcf_000429785
"Chitinilyticum aquatile DSM 21506"	gcf_000430805
"Chitinilyticum litopenaei DSM 21440"	gcf_000428145
"Chitinimonas koreensis DSM 17726"	gcf_000428465
"Chitiniphilus shinanonensis DSM 23277"	gcf_000374805
"Chitinivibrio alkaliphilus ACht1"	gcf_000474745
"Chitinophaga pinensis DSM 2588"	cpin485918
"Chlamydia avium 10DC88"	gcf_000583875
"Chlamydia gallinacea 08-1274/3"	gcf_000471025
"Chlamydia ibidis 10-1398/6"	gcf_000454725
"Chlamydia muridarum"	gcf_000767445
"Chlamydia muridarum"	gcf_000767405
"Chlamydia muridarum Nigg"	gcf_000006685
"Chlamydia muridarum Nigg"	cmur243161
"Chlamydia muridarum Nigg 2 MCR"	gcf_000709455
"Chlamydia muridarum Nigg CM972"	gcf_000830965
"Chlamydia muridarum Nigg3"	gcf_000772145
"Chlamydia muridarum Nigg3 CMUT3-5"	gcf_000830945
"Chlamydia pecorum P787"	cpec1234369
"Chlamydia pecorum PV3056/3"	cpec1234367
"Chlamydia pecorum W73"	cpec1234368
"Chlamydia psittaci 01DC11"	cpsi1112252
"Chlamydia psittaci 01DC11"	cpsi1027846
"Chlamydia psittaci 01DC12"	cpsi1221877
"Chlamydia psittaci 02DC15"	cpsi1112254
"Chlamydia psittaci 02DC15"	cpsi1027845
"Chlamydia psittaci 08DC60"	cpsi1112267
"Chlamydia psittaci 08DC60"	cpsi1027843
"Chlamydia psittaci 6BC"	gcf_000191925
"Chlamydia psittaci 6BC"	cpsi331636
"Chlamydia psittaci 84/55"	cpsi1218176
"Chlamydia psittaci C19/98"	cpsi1112250
"Chlamydia psittaci C19/98"	cpsi1027844
"Chlamydia psittaci Cal10"	cpsi984894
"Chlamydia psittaci CP3"	cpsi1050219
"Chlamydia psittaci GR9"	cpsi1218353
"Chlamydia psittaci M56"	cpsi1218357
"Chlamydia psittaci Mat116"	cpsi500464
"Chlamydia psittaci MN"	cpsi1218354
"Chlamydia psittaci NJ1"	cpsi1050221
"Chlamydia psittaci RD1"	cpsi929557
"Chlamydia psittaci VS225"	cpsi1218355
"Chlamydia psittaci WC"	cpsi1218358
"Chlamydia psittaci WS/RT/E30"	cpsi1218356
"Chlamydia suis MD56"	gcf_000493885
"Chlamydia trachomatis 434/Bu"	ctra471472
"Chlamydia trachomatis 6276s"	ctra564417
"Chlamydia trachomatis A/363"	ctra1071753
"Chlamydia trachomatis A/5291"	ctra1071754
"Chlamydia trachomatis A/7249"	ctra1071755
"Chlamydia trachomatis A/HAR-13"	ctra315277
"Chlamydia trachomatis A2497"	ctra580047
"Chlamydia trachomatis B/Jali20/OT"	ctra580049
"Chlamydia trachomatis B/TZ1A828/OT"	ctra672161
"Chlamydia trachomatis C/TW-3"	ctra1431547
"Chlamydia trachomatis D-EC"	ctra759363
"Chlamydia trachomatis D-LC"	ctra759364
"Chlamydia trachomatis D/SotonD1"	ctra1071756
"Chlamydia trachomatis D/SotonD5"	ctra1071757
"Chlamydia trachomatis D/SotonD6"	ctra1071758
"Chlamydia trachomatis D/UW-3/CX"	ctra272561
"Chlamydia trachomatis E/11023"	ctra707183
"Chlamydia trachomatis E/150"	ctra707184
"Chlamydia trachomatis E/Bour"	ctra596777
"Chlamydia trachomatis E/SotonE4"	ctra1071760
"Chlamydia trachomatis E/SotonE8"	ctra1071761
"Chlamydia trachomatis E/SW3"	ctra1071759
"Chlamydia trachomatis F/SotonF3"	ctra1071764
"Chlamydia trachomatis F/SW4"	ctra1071762
"Chlamydia trachomatis F/SW5"	ctra1071763
"Chlamydia trachomatis G/11074"	ctra707187
"Chlamydia trachomatis G/11222"	ctra707186
"Chlamydia trachomatis G/9301"	ctra718219
"Chlamydia trachomatis G/9768"	ctra707185
"Chlamydia trachomatis G/SotonG1"	ctra1071765
"Chlamydia trachomatis Ia/SotonIa1"	ctra1071766
"Chlamydia trachomatis Ia/SotonIa3"	ctra1071767
"Chlamydia trachomatis IU824"	ctra1260222
"Chlamydia trachomatis IU888"	ctra1260223
"Chlamydia trachomatis J/31-98"	ctra813
"Chlamydia trachomatis J/6276tet1"	ctra907272
"Chlamydia trachomatis K/SotonK1"	ctra1071768
"Chlamydia trachomatis L1/115"	ctra1071770
"Chlamydia trachomatis L1/1322/p2"	ctra1075087
"Chlamydia trachomatis L1/224"	ctra1071771
"Chlamydia trachomatis L1/440/LN"	ctra1071769
"Chlamydia trachomatis L2/25667R"	ctra1071772
"Chlamydia trachomatis L2/434/Bu(f)"	ctra1262673
"Chlamydia trachomatis L2/434/Bu(i)"	ctra1263406
"Chlamydia trachomatis L2b/795"	ctra1071777
"Chlamydia trachomatis L2b/8200/07"	ctra1071773
"Chlamydia trachomatis L2b/Ams1"	ctra1071778
"Chlamydia trachomatis L2b/Ams2"	ctra1071779
"Chlamydia trachomatis L2b/Ams3"	ctra1071780
"Chlamydia trachomatis L2b/Ams4"	ctra1071781
"Chlamydia trachomatis L2b/Ams5"	ctra1071782
"Chlamydia trachomatis L2b/Canada1"	ctra1075085
"Chlamydia trachomatis L2b/Canada2"	ctra1075086
"Chlamydia trachomatis L2b/CV204"	ctra1071776
"Chlamydia trachomatis L2b/LST"	ctra1071775
"Chlamydia trachomatis L2b/UCH-1/proctitis"	ctra471473
"Chlamydia trachomatis L2b/UCH-2"	ctra1071774
"Chlamydia trachomatis L2c"	ctra887712
"Chlamydia trachomatis L3/404/LN"	ctra1071783
"Chlamydia trachomatis RC-F(s)/342"	ctra907269
"Chlamydia trachomatis RC-F(s)/852"	ctra907265
"Chlamydia trachomatis RC-F/69"	ctra907263
"Chlamydia trachomatis RC-J(s)/122"	ctra907270
"Chlamydia trachomatis RC-J/943"	ctra907266
"Chlamydia trachomatis RC-J/953"	ctra907267
"Chlamydia trachomatis RC-J/966"	ctra907271
"Chlamydia trachomatis RC-J/971"	ctra1007871
"Chlamydia trachomatis RC-L2(s)/3"	ctra907268
"Chlamydia trachomatis RC-L2(s)/46"	ctra907264
"Chlamydia trachomatis RC-L2/55"	ctra1007870
"Chlamydia trachomatis Sweden2"	ctra634464
"Chlamydomonas reinhardtii"	chlamy
"Chlamydophila abortus"	gcf_000952935
"Chlamydophila abortus S26/3"	cabo218497
"Chlamydophila caviae GPIC"	ccav227941
"Chlamydophila felis Fe/C-56"	cfel264202
"Chlamydophila pecorum E58"	cpec331635
"Chlamydophila pneumoniae AR39"	cpne115711
"Chlamydophila pneumoniae CWL029"	cpne115713
"Chlamydophila pneumoniae J138"	cpne138677
"Chlamydophila pneumoniae LPCoLN"	cpne406984
"Chlamydophila pneumoniae TW-183"	cpne182082
"Chlorobaculum parvum NCIB 8327"	cpar517417
"Chlorobium chlorochromatii CaD3"	cchl340177
"Chlorobium ferrooxidans DSM 13031"	gcf_000168715
"Chlorobium limicola DSM 245"	clim290315
"Chlorobium luteolum DSM 273"	clut319225
"Chlorobium phaeobacteroides BS1"	cpha331678
"Chlorobium phaeobacteroides DSM 266"	cpha290317
"Chlorobium phaeovibrioides DSM 265"	cpha290318
"Chlorobium tepidum TLS"	ctep194439
"Chloroflexus aggregans DSM 9485"	cagg326427
"Chloroflexus aurantiacus J-10-fl"	caur324602
"Chloroflexus sp. Y-400-fl"	csp480224
"Chlorogloeopsis fritschii PCC 6912"	gcf_000317285
"Chloroherpeton thalassium ATCC 35110"	ctha517418
"Chondromyces apiculatus DSM 436"	gcf_000601485
"Chromobacterium haemolyticum DSM 19808"	gcf_000711885
"Chromobacterium violaceum ATCC 12472"	cvio243365
"Chromohalobacter salexigens DSM 3043"	csal290398
"Chroococcidiopsis thermalis PCC 7203"	cthe251229
"Chryseobacterium antarcticum"	gcf_000729985
"Chryseobacterium caeni DSM 17710"	gcf_000426465
"Chryseobacterium daeguense DSM 19388"	gcf_000430825
"Chryseobacterium formosense"	gcf_000737665
"Chryseobacterium gleum ATCC 35910"	cgle525257-hmp
"Chryseobacterium gregarium DSM 19109"	gcf_000430845
"Chryseobacterium haifense DSM 19056"	gcf_000735695
"Chryseobacterium hispalense DSM 25574"	gcf_000708615
"Chryseobacterium oranimense G311"	gcf_000612925
"Chryseobacterium palustre DSM 21579"	gcf_000422265
"Chryseobacterium piperi"	gcf_000737775
"Chryseobacterium soli"	gcf_000737705
"Chryseobacterium sp. StRB126"	gcf_000829375
"Chryseobacterium vrystaatense"	gcf_000737765
"Chrysiogenes arsenatis DSM 11915"	gcf_000469585
"Chthoniobacter flavus Ellin428"	gcf_000173075
"Chthonomonas calidirosea T49"	ccal1303518
"Citreicella sp. 357"	csp766499
"Citreicella sp. SE45"	csp501479
"Citrobacter amalonaticus Y19"	gcf_000981805
"Citrobacter freundii 4_7_47CFAA"	cfre742730-hmp
"Citrobacter freundii ATCC 8090 = MTCC 1658"	cfre1006003
"Citrobacter freundii GTC 09479"	cfre1288347
"Citrobacter koseri ATCC BAA-895"	ckos290338
"Citrobacter rodentium ICC168"	crod637910
"Citrobacter sp. 30_2"	csp469595-hmp
"Citrobacter youngae ATCC 29220"	cyou500640-hmp
"Citromicrobium bathyomarinum JL354"	gcf_000176355
"Citromicrobium sp. JLT1363"	csp517722
"Clavibacter michiganensis michiganensis NCPPB 382"	cmic443906
"Clavibacter michiganensis nebraskensis NCPPB 2581"	cmic1097677
"Clavibacter michiganensis sepedonicus ATCC 33113"	cmic31964
"Cloacibacillus evryensis DSM 19522"	gcf_000585335
"Clostridiales bacterium 1_7_47FAA"	cbac457421-hmp
"Clostridiales genomosp. BVAB3 UPII9-5"	cgen699246-hmp
"Clostridiisalibacter paucivorans DSM 22131"	gcf_000620125
"Clostridium acetobutylicum ATCC 824"	cace272562
"Clostridium acetobutylicum DSM 1731"	cace991791
"Clostridium acetobutylicum EA 2018"	cace863638
"Clostridium acidurici 9a"	caci1128398
"Clostridium akagii DSM 12554"	gcf_000686725
"Clostridium algidicarnis"	gcf_000703125
"Clostridium arbusti SL206"	gcf_000246895
"Clostridium autoethanogenum DSM 10061"	caut1341692
"Clostridium beijerinckii NCIMB 8052"	cbei290402
"Clostridium bornimense"	gcf_000577895
"Clostridium botulinum A str. ATCC 19397"	cbot441770
"Clostridium botulinum A str. ATCC 3502"	cbot413999
"Clostridium botulinum A str. Hall"	cbot441771
"Clostridium botulinum A2 str. Kyoto"	cbot536232
"Clostridium botulinum A3 str. Loch Maree"	cbot498214
"Clostridium botulinum B str. Eklund 17B (NRP)"	cbot508765
"Clostridium botulinum B1 str. Okra"	cbot498213
"Clostridium botulinum Ba4 str. 657"	cbot515621
"Clostridium botulinum Bf"	cbot445336
"Clostridium botulinum BKT015925"	cbot929506
"Clostridium botulinum D str. 1873"	cbot592027
"Clostridium botulinum E1 str. BoNT E Beluga"	cbot536233
"Clostridium botulinum E3 str. Alaska E43"	cbot508767
"Clostridium botulinum F str. 230613"	cbot758678
"Clostridium botulinum F str. Langeland"	cbot441772
"Clostridium botulinum H04402 065"	cbot941968
"Clostridium butyricum 60E.3"	gcf_000371625
"Clostridium cadaveris AGR2141"	gcf_000424205
"Clostridium carboxidivorans P7"	gcf_000163855
"Clostridium celatum DSM 1785"	ccel545697-hmp
"Clostridium cellulolyticum H10"	ccel394503
"Clostridium cellulovorans 743B"	ccel573061
"Clostridium cf. saccharolyticum K10"	ccf717608
"Clostridium clariflavum DSM 19732"	ccla720554
"Clostridium colicanis 209318"	gcf_000371465
"Clostridium difficile QCD-37x79"	cdif479834
"Clostridium difficile QCD-63q42"	cdif479831
"Clostridium difficile QCD-97b34"	cdif479833
"Clostridium hydrogeniformans DSM 21757"	gcf_000686705
"Clostridium intestinale URNW"	gcf_000469625
"Clostridium kluyveri DSM 555"	cklu431943
"Clostridium kluyveri NBRC 12016"	cklu583346
"Clostridium lentocellum DSM 5427"	clen642492
"Clostridium ljungdahlii DSM 13528"	clju748727
"Clostridium lundense DSM 17049"	gcf_000619945
"Clostridium novyi NT"	cnov386415
"Clostridium papyrosolvens DSM 2782"	cpap588581
"Clostridium paraputrificum AGR2156"	gcf_000424025
"Clostridium pasteurianum BC1"	cpas86416
"Clostridium pasteurianum DSM 525"	cpas1262449
"Clostridium perfringens 13"	cper195102
"Clostridium perfringens ATCC 13124"	cper195103
"Clostridium perfringens NCTC 8239"	cper451757
"Clostridium perfringens SM101"	cper289380
"Clostridium perfringens WAL-14572"	cper742739-hmp
"Clostridium saccharobutylicum DSM 13864"	csac1345695
"Clostridium saccharolyticum WM1"	csac610130
"Clostridium saccharoperbutylacetonicum N1-4(HMT)"	clossac
"Clostridium sartagoforme AAU1"	gcf_000401215
"Clostridium scatologenes"	gcf_000968375
"Clostridium senegalense JC122"	gcf_000285575
"Clostridium sp. 7_2_43FAA"	csp457396-hmp
"Clostridium sp. 7_3_54FAA"	csp665940-hmp
"Clostridium sp. BNL1100"	csp755731
"Clostridium sp. D5"	csp556261-hmp
"Clostridium sp. DL-VIII"	csp641107
"Clostridium sp. HGF2"	csp908340-hmp
"Clostridium sp. M62/1"	csp411486-hmp
"Clostridium sp. SY8519"	csp1042156
"Clostridium sporogenes PA 3679"	cspo1075091
"Clostridium stercorarium stercorarium DSM 8532"	cste1121335
"Clostridium sticklandii DSM 519"	csti499177
"Clostridium sulfidigenes"	gcf_000732635
"Clostridium symbiosum WAL-14163"	csym742740-hmp
"Clostridium symbiosum WAL-14673"	csym742741-hmp
"Clostridium termitidis CT1112"	cter1195236
"Clostridium tetani 12124569"	ctet1231072
"Clostridium tetani E88"	ctet212717
"Clostridium tetanomorphum DSM 665"	gcf_000647895
"Clostridium thermocellum DSM 1313"	cthe637887
"Clostridium thermocellum YS"	cthe1094188
"Clostridium tyrobutyricum DSM 2637 = ATCC 25755 = JCM 11008"	gcf_000429805
"Clostridium ultunense DSM 10521"	gcf_000511955
"Clostridium ultunense Esp"	gcf_000344075
"Cobetia marina"	gcf_000754225
"Cohnella laeviribosi DSM 21336"	gcf_000378425
"Cohnella panacarvi Gsoil 349"	gcf_000515335
"Cohnella thermotolerans DSM 17683"	gcf_000429825
"Coleofasciculus chthonoplastes PCC 7420"	gcf_000155555
"Collimonas arenae"	gcf_000786695
"Collimonas fungivorans Ter331"	cfun1005048
"Collinsella aerofaciens ATCC 25986"	gcf_000169035
"Collinsella intestinalis DSM 13280"	gcf_000156175
"Collinsella stercoris DSM 13279"	gcf_000156215
"Collinsella tanakaei YIT 12063"	ctan742742-hmp
"Colwellia piezophila ATCC BAA-637"	gcf_000378625
"Colwellia psychrerythraea 34H"	cpsy167879
"Comamonadaceae bacterium A1"	gcf_000828895
"Comamonadaceae bacterium B1"	gcf_000828915
"Comamonas aquatica NBRC 14918"	gcf_000739875
"Comamonas badia DSM 17552"	gcf_000484635
"Comamonas composti DSM 21721"	gcf_000429845
"Comamonas granuli NBRC 101663"	gcf_000739995
"Comamonas testosteroni CNB-1"	ctes543891
"Comamonas testosteroni KF-1"	ctes399795
"Comamonas testosteroni S44"	ctes563045
"Commensalibacter intestini A911"	gcf_000231445
"Conchiformibius kuhniae DSM 17694"	gcf_000428785
"Conchiformibius steedae DSM 2580"	gcf_000620925
"Conexibacter woesei DSM 14684"	cwoe469383
"Coprobacillus sp. 29_1"	csp469596-hmp
"Coprobacillus sp. 3_3_56FAA"	csp665941-hmp
"Coprobacillus sp. 8_2_54BFAA"	csp469597-hmp
"Coprobacillus sp. D7"	csp556270-hmp
"Coprobacter fastidiosus NSB1"	gcf_000473955
"Coprococcus catus GD/7"	ccat717962
"Coprococcus comes ATCC 27758"	gcf_000155875
"Coprococcus eutactus ATCC 27759"	gcf_000154425
"Coprococcus sp. ART55/1"	csp751585
"Coprothermobacter platensis DSM 11748"	gcf_000378005
"Coprothermobacter proteolyticus DSM 5265"	cpro309798
"Coraliomargarita akajimensis DSM 45221"	caka583355
"Corallococcus coralloides DSM 2259"	ccor1144275
"Coriobacteriaceae bacterium 68-1-3"	gcf_000814825
"Coriobacterium glomerans PW2"	cglo700015
"Corynebacterium accolens ATCC 49725"	cacc525260-hmp
"Corynebacterium accolens ATCC 49726"	cacc862512-hmp
"Corynebacterium ammoniagenes DSM 20306"	camm649754-hmp
"Corynebacterium amycolatum SK46"	camy553204-hmp
"Corynebacterium argentoratense DSM 44202"	carg1348662
"Corynebacterium atypicum"	gcf_000732945
"Corynebacterium aurimucosum ATCC 700975"	caur548476-hmp
"Corynebacterium bovis DSM 20582"	cbov927655
"Corynebacterium callunae DSM 20147"	ccal1121353
"Corynebacterium camporealensis CIP 105508"	gcf_000766885
"Corynebacterium camporealensis DSM 44610"	gcf_000980815
"Corynebacterium capitovis DSM 44611"	gcf_000372085
"Corynebacterium casei UCMA 3821"	ccas1110505
"Corynebacterium caspium DSM 44850"	gcf_000379705
"Corynebacterium ciconiae DSM 44920"	gcf_000372385
"Corynebacterium diphtheriae 241"	cdip698966
"Corynebacterium diphtheriae 31A"	cdip698962
"Corynebacterium diphtheriae BH8"	cdip698973
"Corynebacterium diphtheriae C7 (beta)"	cdip698963
"Corynebacterium diphtheriae CDCE 8392"	cdip698965
"Corynebacterium diphtheriae HC01"	cdip698967
"Corynebacterium diphtheriae HC02"	cdip698968
"Corynebacterium diphtheriae HC03"	cdip698969
"Corynebacterium diphtheriae HC04"	cdip698970
"Corynebacterium diphtheriae INCA 402"	cdip698972
"Corynebacterium diphtheriae NCTC 13129"	cdip257309
"Corynebacterium diphtheriae PW8"	cdip698964
"Corynebacterium diphtheriae VA01"	cdip698971
"Corynebacterium doosanense CAU 212 = DSM 45436"	gcf_000767055
"Corynebacterium durum F0235"	cdur1035195-hmp
"Corynebacterium efficiens YS-314"	ceff196164-hmp
"Corynebacterium falsenii DSM 44353"	gcf_000525655
"Corynebacterium freiburgense DSM 45254"	gcf_000428805
"Corynebacterium freneyi DNF00450"	gcf_000758965
"Corynebacterium genitalium ATCC 33030"	cgen585529-hmp
"Corynebacterium glucuronolyticum ATCC 51866"	cglu548478-hmp
"Corynebacterium glucuronolyticum ATCC 51867"	cglu548477-hmp
"Corynebacterium glutamicum ATCC 13032"	cglu196627
"Corynebacterium glutamicum K051"	cglu1204414
"Corynebacterium glutamicum MB001"	cglu1310161
"Corynebacterium glutamicum R"	cglu340322
"Corynebacterium glutamicum SCgG1"	cglu1232381
"Corynebacterium glutamicum SCgG2"	cglu1232383
"Corynebacterium glyciniphilum AJ 3170"	gcf_000626675
"Corynebacterium halotolerans YIM 70093 = DSM 44683"	chal1121362
"Corynebacterium humireducens NBRC 106098 = DSM 45392"	gcf_000819445
"Corynebacterium imitans"	gcf_000739455
"Corynebacterium jeikeium ATCC 43734"	cjei525262-hmp
"Corynebacterium jeikeium K411"	cjei306537
"Corynebacterium kroppenstedtii DSM 44385"	ckro645127
"Corynebacterium kutscheri"	gcf_000980835
"Corynebacterium lipophiloflavum DSM 44291"	clip525263-hmp
"Corynebacterium lubricantis DSM 45231"	gcf_000379425
"Corynebacterium marinum DSM 44953"	gcf_000835165
"Corynebacterium maris DSM 45190"	cmar1224163
"Corynebacterium massiliense DSM 45435"	gcf_000420605
"Corynebacterium mastitidis DSM 44356"	gcf_000375365
"Corynebacterium matruchotii ATCC 14266"	cmat553207-hmp
"Corynebacterium nuruki S6-4"	gcf_000213935
"Corynebacterium pilosum DSM 20521"	gcf_000373805
"Corynebacterium pseudodiphtheriticum DSM 44287"	gcf_000688415
"Corynebacterium pseudogenitalium ATCC 33035"	cpse525264-hmp
"Corynebacterium pseudotuberculosis 1/06-A"	cpse1087454
"Corynebacterium pseudotuberculosis 1002"	cpse679896
"Corynebacterium pseudotuberculosis 258"	cpse1168865
"Corynebacterium pseudotuberculosis 267"	cpse1089446
"Corynebacterium pseudotuberculosis 3/99-5"	cpse1087452
"Corynebacterium pseudotuberculosis 31"	cpse1087451
"Corynebacterium pseudotuberculosis 316"	cpse1074485
"Corynebacterium pseudotuberculosis 42/02-A"	cpse1087453
"Corynebacterium pseudotuberculosis C231"	cpse681645
"Corynebacterium pseudotuberculosis CIP 52.97"	cpse935697
"Corynebacterium pseudotuberculosis Cp162"	cpse1161911
"Corynebacterium pseudotuberculosis FRC41"	cpse765874
"Corynebacterium pseudotuberculosis I19"	cpse889513
"Corynebacterium pseudotuberculosis P54B96"	cpse1117942
"Corynebacterium pseudotuberculosis PAT10"	cpse935298
"Corynebacterium pyruviciproducens ATCC BAA-1742"	gcf_000411375
"Corynebacterium resistens DSM 45100"	cres662755
"Corynebacterium singulare"	gcf_000833575
"Corynebacterium sp. ATCC 6931"	gcf_000755185
"Corynebacterium sputi DSM 45148"	gcf_000427865
"Corynebacterium striatum ATCC 6940"	cstr525268-hmp
"Corynebacterium terpenotabidum Y-11"	cter1200352
"Corynebacterium timonense 5401744"	gcf_000312345
"Corynebacterium tuberculostearicum SK141"	ctub553206-hmp
"Corynebacterium tuscaniense DNF00037"	gcf_000759055
"Corynebacterium ulcerans 0102"	culc996634
"Corynebacterium ulcerans 809"	culc945711
"Corynebacterium ulcerans BR-AD22"	culc945712
"Corynebacterium ulceribovis DSM 45146"	gcf_000372445
"Corynebacterium urealyticum DSM 7109"	cure504474
"Corynebacterium urealyticum DSM 7111"	cure1267754
